Period,First Release
2008-11-15,542000.0
2008-11-08,516000.0
2008-11-01,481000.0
2008-10-25,479000.0
2008-10-18,478000.0
2008-10-11,461000.0
2008-10-04,478000.0
2008-09-27,497000.0
2008-09-20,493000.0
2008-09-13,455000.0
2008-09-06,445000.0
2008-08-30,444000.0
2008-08-23,425000.0
2008-08-16,432000.0
2008-08-09,450000.0
2008-08-02,455000.0
2008-07-26,448000.0
2008-07-19,406000.0
2008-07-12,366000.0
2008-07-05,346000.0
2008-06-28,404000.0
2008-06-21,384000.0
2008-06-14,381000.0
2008-06-07,384000.0
2008-05-31,357000.0
2008-05-24,372000.0
2008-05-17,365000.0
2008-05-10,371000.0
2008-05-03,365000.0
2008-04-26,380000.0
2008-04-19,342000.0
2008-04-12,372000.0
2008-04-05,357000.0
2008-03-29,407000.0
2008-03-22,366000.0
2008-03-15,378000.0
2008-03-08,353000.0
2008-03-01,351000.0
2008-02-23,373000.0
2008-02-16,349000.0
2008-02-09,348000.0
2008-02-02,356000.0
2008-01-26,375000.0
2008-01-19,301000.0
2008-01-12,301000.0
2008-01-05,322000.0
2007-12-29,336000.0
2007-12-22,349000.0
2007-12-15,346000.0
2007-12-08,333000.0
2007-12-01,338000.0
2007-11-24,352000.0
2007-11-17,330000.0
2007-11-10,339000.0
2007-11-03,317000.0
2007-10-27,327000.0
2007-10-20,331000.0
2007-10-13,337000.0
2007-10-06,308000.0
2007-09-29,317000.0
2007-09-22,298000.0
2007-09-15,311000.0
2007-09-08,319000.0
2007-09-01,318000.0
2007-08-25,334000.0
2007-08-18,322000.0
2007-08-11,322000.0
2007-08-04,316000.0
2007-07-28,307000.0
2007-07-21,301000.0
2007-07-14,301000.0
2007-07-07,308000.0
2007-06-30,318000.0
2007-06-23,313000.0
2007-06-16,324000.0
2007-06-09,311000.0
2007-06-02,309000.0
2007-05-26,310000.0
2007-05-19,311000.0
2007-05-12,293000.0
2007-05-05,297000.0
2007-04-28,305000.0
2007-04-21,321000.0
2007-04-14,339000.0
2007-04-07,342000.0
2007-03-31,321000.0
2007-03-24,308000.0
2007-03-17,316000.0
2007-03-10,318000.0
2007-03-03,328000.0
2007-02-24,338000.0
2007-02-17,332000.0
2007-02-10,357000.0
2007-02-03,311000.0
2007-01-27,307000.0
2007-01-20,325000.0
2007-01-13,290000.0
2007-01-06,299000.0
2006-12-30,329000.0
2006-12-23,317000.0
2006-12-16,315000.0
2006-12-09,304000.0
2006-12-02,324000.0
2006-11-25,357000.0
2006-11-18,321000.0
2006-11-11,308000.0
2006-11-04,308000.0
2006-10-28,327000.0
2006-10-21,308000.0
2006-10-14,299000.0
2006-10-07,308000.0
2006-09-30,302000.0
2006-09-23,316000.0
2006-09-16,318000.0
2006-09-09,308000.0
2006-09-02,310000.0
2006-08-26,316000.0
2006-08-19,313000.0
2006-08-12,312000.0
2006-08-05,319000.0
2006-07-29,315000.0
2006-07-22,298000.0
2006-07-15,304000.0
2006-07-08,332000.0
2006-07-01,313000.0
2006-06-24,313000.0
2006-06-17,308000.0
2006-06-10,295000.0
2006-06-03,302000.0
2006-05-27,336000.0
2006-05-20,329000.0
2006-05-13,367000.0
2006-05-06,324000.0
2006-04-29,322000.0
2006-04-22,315000.0
2006-04-15,303000.0
2006-04-08,313000.0
2006-04-01,299000.0
2006-03-25,302000.0
